playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
sa3020472,Sean Harney,999.0,TBR,Rays,0.1312,0.3832,0.0,0.0,,1.0,4.422,1.0478,0.5924,0.55393,0.158222,0.777,0.4014,0.0524
sa875616,Justin Donatella,999.0,,,0.167,0.215,0.0,0.0,,1.0,4.393,1.063,0.5967,0.56039,0.172,0.7858,0.3554,0.0447
sa738690,Nick Green,999.0,,,0.1095,0.4855,0.0,0.0,,1.0,4.468,1.0381,0.5798,0.53801,0.145333,0.7827,0.4688,0.0448
16164,Daniel Gossett,999.0,,,0.1542,0.2752,0.0,0.0,,1.0,4.467,1.0922,0.6035,0.56194,0.144667,0.7051,0.4278,0.0378
6249,Trevor Cahill,999.0,,,0.1691,0.2051,0.0,0.0,,1.0,4.448,1.0726,0.6083,0.56779,0.152667,0.7629,0.4226,0.047
13345,Luis Cessa,999.0,KCR,Royals,0.1688,0.2068,0.0,0.0,,1.0,4.461,1.145,0.6203,0.57825,0.142667,0.6289,0.3858,0.0381
sa3011654,Peyton Plumlee,999.0,HOU,Astros,0.1363,0.3593,0.0,0.0,,1.0,4.42,1.0508,0.6,0.56166,0.162111,0.803,0.4073,0.0491
sa3015224,Aaron Rozek,999.0,MIN,Twins,0.153,0.281,0.0,0.0,,1.0,4.415,1.0871,0.5875,0.54894,0.157111,0.6847,0.354,0.0467
sa3008025,Paul Richan,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.39,1.0673,0.5975,0.56102,0.172667,0.7747,0.3514,0.0419
sa3019785,Gunnar Hoglund,999.0,OAK,Athletics,0.1754,0.1754,0.0,0.0,,1.0,4.374,1.0871,0.5904,0.55193,0.161111,0.6672,0.3275,0.0446
sa3020558,Trace Bright,999.0,BAL,Orioles,0.1674,0.2134,0.0,0.0,,1.0,4.458,0.9951,0.5854,0.54738,0.156444,0.8822,0.4856,0.0512
sa3014871,Ryan Murphy,999.0,SFG,Giants,0.1728,0.1878,0.0,0.0,,1.0,4.449,1.0491,0.6038,0.56672,0.162,0.803,0.4127,0.0485
sa3014926,Brandon Young,999.0,BAL,Orioles,0.1754,0.1754,0.0,0.0,,1.0,4.398,1.0679,0.5892,0.55036,0.166,0.7408,0.3554,0.0472
sa3020112,A.J. Blubaugh,999.0,HOU,Astros,0.1395,0.3445,0.0,0.0,,1.0,4.426,1.0302,0.5977,0.55972,0.161889,0.8329,0.4393,0.0433
2233,Adam Wainwright,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.419,1.1484,0.6029,0.56222,0.158444,0.6149,0.3146,0.0377
sa3014925,Brian Van Belle,999.0,BOS,Red Sox,0.1726,0.1886,0.0,0.0,,1.0,4.386,1.1318,0.6195,0.58135,0.172778,0.6842,0.2949,0.0415
sa830370,Bo Takahashi,999.0,,,0.1733,0.1853,0.0,0.0,,1.0,4.397,1.0632,0.5982,0.56169,0.171889,0.7803,0.3598,0.0446
6576,Robert Stock,999.0,MIL,Brewers,0.1754,0.1754,0.0,0.0,,1.0,4.427,1.0176,0.5867,0.54862,0.164333,0.8453,0.4296,0.0513
sa1052944,Justin Lasko,999.0,,,0.1211,0.4311,0.0,0.0,,1.0,4.426,1.1151,0.6009,0.5596,0.153111,0.6552,0.3596,0.0441
7410,J.A. Happ,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.396,1.098,0.6013,0.5651,0.177222,0.7465,0.323,0.0373
sa3017304,Patrick Wicklander,999.0,TBR,Rays,0.1521,0.2851,0.0,0.0,,1.0,4.402,1.0634,0.5827,0.54442,0.160778,0.7218,0.3692,0.046
12905,Logan Verrett,999.0,,,0.1705,0.1985,0.0,0.0,,1.0,4.343,1.1188,0.5963,0.55818,0.174,0.6508,0.2667,0.0442
sa3002788,Alemao Hernandez,999.0,,,0.1582,0.2562,0.0,0.0,,1.0,4.373,1.1229,0.5858,0.54674,0.165333,0.6202,0.2854,0.0428
sa873321,Cesar Rosado,999.0,,,0.1518,0.2868,0.0,0.0,,1.0,4.444,1.0558,0.6014,0.56313,0.159667,0.793,0.411,0.057
