ID,Player,Position,Status,Age,ADP,IDFANGRAPHS
*000f0*,Kelly Johnson,"2B,3B,OF",FA,39,-,2234
*04222*,Taylor Jones,1B,FA,28,-,19533
*01ubf*,Caleb Joseph,C,FA,35,-,7087
*01shs*,Corban Joseph,2B,FA,33,-,5503
*02i1l*,Munenori Kawasaki,2B,FA,40,-,13047
*041mb*,Anthony Kay,SP,W (Mon),26,-,20387
*01fcp*,Casey Kelly,RP,FA,32,-,9174
*03yet*,Hyun Soo Kim,OF,FA,34,-,18718
*02hky*,Adam Kolarek,RP,W (Mon),32,-,10843
*03xu9*,Dae-Ho Lee,1B,FA,39,-,18722
*037ab*,Domingo Leyba,2B,W (Sat),26,-,16404
*00009*,James Loney,1B,FA,37,-,4556
*02n09*,Tim Lopes,2B,W (Tue),27,-,14137
*03mk3*,Yoan Lopez,RP,W (Thu),29,-,17181
*03qok*,Vimael Machin,SS,FA,28,-,17684
*025hp*,Matt Magill,RP,FA,32,-,3950
*004dk*,Mitch Maier,OF,FA,39,-,5588
*04eie*,Nick Margevicius,SP,FA,25,-,20395
*01c5r*,Chris Marrero,"1B,OF",FA,33,-,2852
*026l3*,Leonys Martin,OF,FA,33,-,11846
*01sgc*,Jose Martinez,OF,FA,33,-,7996
*013uk*,Casey McGehee,3B,FA,39,-,6086
*043ia*,Adrian Morejon,SP,FA,22,-,20039
*026ke*,Hiroyuki Nakajima,SS,FA,39,-,14446
*03pp0*,Nick Neidert,SP,W (Mon),25,-,18699
*02n6c*,Scott Oberg,RP,FA,31,-,13911
*03nzq*,Seunghwan Oh,RP,FA,39,-,18719
*02myt*,Steven Okert,RP,FA,30,-,13580
*000jy*,Angel Pagan,OF,FA,40,-,2918
*02hqd*,Daniel Palka,OF,W (Sat),30,-,14897
*000bq*,Jonathan Papelbon,RP,FA,41,-,5975
*04ywp*,Enoli Paredes,RP,W (Fri),26,-,20447
*000py*,Jake Peavy,SP,FA,40,-,1051
*01chu*,Ramiro Pena,2B,FA,36,-,8841
*03zo6*,Cionel Perez,RP,W (Sat),25,-,19614
*03qto*,Evan Phillips,RP,FA,27,-,17734
*02mz1*,Colin Poche,RP,FA,27,-,19403
*02b2k*,Cody Poteet,SP,FA,27,-,18769
*01sro*,Cesar Puello,OF,FA,30,-,7216
*041ts*,Luke Raley,OF,W (Mon),27,-,19354
*02ytp*,Cory Rasmus,RP,FA,34,-,2413
*03azu*,Pablo Reyes,3B,W (Mon),28,-,16357
*03qvs*,Emmanuel Rivera,3B,W (Mon),25,-,19890
*02hjn*,Yadiel Rivera,3B,FA,29,-,11863
*04g7l*,Kristian Robinson,OF,sfernand,21,-,sa3006884
*027vl*,Jason Rogers,1B,FA,33,-,11773
*02i1m*,Daniel Rosenbaum,SP,FA,34,-,sa502078
*01s8w*,Tyson Ross,SP,FA,34,-,7872
*022vs*,Chris Rusin,RP,FA,35,-,9895
*03zce*,Blake Rutherford,OF,W (Mon),24,-,sa917932
*02hlf*,Kyle Ryan,RP,W (Mon),30,-,11753
*01ska*,Keyvius Sampson,RP,FA,31,-,10039
*0410x*,Warwick Saupold,RP,FA,31,-,13211
*0008v*,Nate Schierholtz,OF,FA,37,-,6201
*03dg9*,Justin Shafer,RP,FA,29,-,16132
*0420g*,Zack Short,SS,FA,26,-,19562
*00qrf*,Travis Snider,OF,FA,33,-,2830
*02bq1*,Cory Spangenberg,3B,FA,30,-,12294
*03qlb*,Thomas Szapucki,RP,W (Fri),25,-,sa875054
*00qrj*,Taylor Teagarden,C,FA,38,-,5199
*025gm*,Tomas Telis,C,W (Sat),30,-,10067
*03qr3*,Curtis Terry,UT,W (Mon),25,-,18881
*02yop*,Lewis Thorpe,SP,FA,26,-,15906
*02hhl*,Andrew Toles,OF,FA,29,-,13414
